sample_id,setup,mae,sharp_f0,sharp_f15,sharp_ratio,sharp_mean
sample_000177,B,0.98150235414505,343.1619023796544,131.5360476544127,0.3833060917959618,156.67509404415264
sample_000178,B,1.1005351543426514,355.54818540796634,167.16868570741264,0.4701716745245048,172.91724633009875
sample_000179,B,0.7221710085868835,404.0911787613854,143.13447323795407,0.354213308186256,183.10734811189118
sample_000180,B,0.9344037175178528,561.7530912842974,155.6954220747948,0.2771598848149444,194.91513094789582
sample_000181,B,0.9406814575195312,335.7299540840089,130.74725074231623,0.3894417199056348,159.102567321104
sample_000182,B,0.7603507041931152,356.27205132301896,130.23205810546875,0.3655410454506634,168.08277010186572
sample_000183,B,0.7598549723625183,427.58475807573643,151.0305001044273,0.3532176890123755,181.56401282320496
sample_000184,B,0.5661835074424744,246.00245124757288,133.66196797993035,0.5433359192238907,157.19789019471267
sample_000185,B,0.9516663551330566,545.6444976210221,175.38453860130159,0.3214263854322143,200.50787667230935
sample_000186,B,0.6462574005126953,353.9435359504447,141.27093649622054,0.39913410515286185,151.57641696264503
sample_000187,B,1.1057363748550415,393.14109407570214,157.79498442407697,0.40136985627275185,182.23352988712492
sample_000188,B,1.0380710363388062,343.0347203626858,123.9842939957604,0.361433658565738,159.08747956057078
sample_000189,B,1.0962765216827393,336.04627389296894,132.11236320436,0.39313741430276333,163.51721045340878
sample_000190,B,0.9919937252998352,382.93129093792294,143.98654231425374,0.3760114300442359,163.2399588022614
sample_000191,B,0.4466169774532318,369.6667680011689,173.41916744615884,0.46912295737011034,165.65766688508677
sample_000192,B,1.017846703529358,405.54884373988955,154.97990063037724,0.38214854516951374,183.33302468059816
sample_000193,B,0.811297595500946,362.429551820606,137.35887435913088,0.37899468646839335,165.91519502482845
sample_000194,B,0.6219086050987244,346.42631591796874,130.08197433050725,0.37549680365884713,158.0623370051058
sample_000195,B,0.7826750874519348,369.83081548329443,142.9471410777792,0.38652036307730625,181.1147794927354
sample_000196,B,0.9011216163635254,358.8474591344595,142.10074894096707,0.3959920721849731,178.67238512963058
sample_000197,B,0.8156010508537292,341.92314425572755,151.53311132784933,0.44317886599251755,183.89750780708388
sample_000198,B,0.8123660087585449,495.5146759715302,167.0932319818437,0.337211469376225,197.78954217094923
sample_000199,B,0.7197334170341492,456.4421486972271,128.94745314385744,0.28250557822475,169.35037161119516
sample_000200,B,0.7273035049438477,402.59498193249107,145.02489325668662,0.36022528785767394,185.07815545138902
sample_000201,B,0.701133668422699,340.9460564798117,148.36033169236035,0.4351431227102201,185.5758948317333
sample_000202,B,1.071961522102356,433.55029824521387,143.74238448198884,0.33154719317178016,185.31145799338583
sample_000203,B,0.8066932559013367,378.7195767253637,165.82235723879188,0.4378499750992312,170.90233655069954
sample_000204,B,0.6612424254417419,483.8758904879913,117.88800024986267,0.24363272187620677,202.10728705972667
sample_000205,B,0.8986515998840332,335.5007095738872,137.3624897742271,0.4094253331049239,166.8779345911951
sample_000206,B,0.7186781764030457,363.4960959669574,165.21318493094296,0.45451158008024717,170.4345619196072
sample_000207,B,0.8797957897186279,537.0872310086712,168.08241170193998,0.3129517925538362,228.8623668602831
sample_000208,B,0.4951197206974029,361.5948358004913,169.26478697046642,0.46810620675970516,170.11059742649087
sample_000209,B,0.5116803646087646,299.837100535594,143.08562323316931,0.4772112022747614,158.97974169034745
sample_000210,B,0.6242781281471252,465.75905587222417,141.00324586331845,0.3027386029011557,181.9254954451439
sample_000211,B,0.6527290940284729,347.8831413372979,159.65674790408465,0.45893787002827446,170.1889184421953
sample_000212,B,1.1107922792434692,350.4139089223371,141.0499921962246,0.40252395411474884,164.8088008726877
sample_000213,B,0.5588297843933105,417.6298422807455,158.1333990764245,0.37864487416136716,183.32851951807504
sample_000214,B,0.7760799527168274,321.90851783215993,166.4696227982268,0.5171333269442174,174.72642292671603
sample_000215,B,0.6966860294342041,321.6050286279618,143.3967527256906,0.4458784532612965,169.97722831251565
